time	susceptible (total)	severe (total)	exposed (total)	overflow (total)	ICU (total)	infectious (total)	cumulative_recovered (total)	cumulative_hospitalized (total)	cumulative_critical (total)	cumulative_fatality (total)
2020-02-01	331002643	0	6	0	0	2	0	0	0	0
2020-02-02	331002640	0	6	0	0	3	1	0	0	0
2020-02-03	331002638	0	7	0	0	4	2	0	0	0
2020-02-04	331002635	0	8	0	0	5	4	0	0	0
2020-02-05	331002631	0	9	0	0	6	5	0	0	0
2020-02-06	331002627	0	10	0	0	6	7	0	0	0
2020-02-07	331002622	0	12	0	0	7	10	0	0	0
2020-02-08	331002617	0	13	0	0	8	12	0	0	0
2020-02-09	331002611	0	15	0	0	10	15	0	0	0
2020-02-10	331002604	0	17	0	0	11	18	1	0	0
2020-02-11	331002596	0	20	0	0	12	22	1	0	0
2020-02-12	331002587	0	22	0	0	14	27	1	0	0
2020-02-13	331002577	0	26	0	0	16	31	1	0	0
2020-02-14	331002566	0	29	0	0	18	37	1	0	0
2020-02-15	331002553	1	33	0	0	21	44	1	0	0
2020-02-16	331002538	1	38	0	0	24	51	2	0	0
2020-02-17	331002521	1	43	0	0	27	59	2	1	0
2020-02-18	331002502	1	49	0	0	31	69	2	1	0
2020-02-19	331002480	1	55	0	1	35	79	3	1	0
2020-02-20	331002455	1	63	0	1	40	92	3	1	0
2020-02-21	331002427	1	71	0	1	45	106	4	1	0
2020-02-22	331002395	1	81	0	1	52	121	4	1	0
2020-02-23	331002359	2	92	0	1	59	139	5	1	0
2020-02-24	331002318	2	104	0	1	66	160	6	2	0
2020-02-25	331002271	2	118	0	1	75	183	6	2	0
2020-02-26	331002218	2	134	0	2	86	209	7	2	0
2020-02-27	331002159	3	151	0	2	97	239	8	3	0
2020-02-28	331002091	3	172	0	2	110	273	10	3	0
2020-02-29	331002014	3	194	0	2	125	311	11	3	1
2020-03-01	331001927	4	220	0	3	142	355	13	4	1
2020-03-02	331001790	4	288	0	3	161	404	14	4	1
2020-03-03	331001602	5	391	0	3	188	461	16	5	1
